"movie_name","title","reviewer","review","date","ratings"
"mr. & mrs. smith","people are misunderstanding this series","gehete","this series has nothing but the premise in common with s mr and mrs smith first of all the main lead while charming in his own right is no brad pitt similarly the female lead no angelina jolie the premise of the first movie was shallow it was just  overly attractive film stars who were never seen together in a movie fawning over each other and displaying their sexiness with some bad plot in the background this movie actually explores the plot two pretend married agents going on missions and step by step getting intimate it is a blurry line they are traversing between the professional strictly lethal business and the attraction it is complexa very messy unconventional hands on movie i would very much like to compare to beef you never know where the plot is going or how the relationship will develop its messiness does contribute to it losing focus it is set up as a spy thriller but the dialogue is very much atlanta like way more casual intertwined than any spy movie ive ever watched this is however to its detriment sometimes because whilst the story the progression are enjoyable due to the complexity it creates you have a hard time buying either of the characters as stone cold killers they are supposed to bestill the dialogue is simply superb the chemistry is there the story is a thrill you just need to remove the bradjelina glasses and enjoy the ride",2024-02-07,NA
"mr. & mrs. smith","i wish i liked it more","feastmode","i see a lot of discussion surrounding how alike or different this is from the movie even though i love the movie i went into this without any expectations on what it should or shouldnt be but even with an open mind i just found myself not fully enjoying this series i reluctantly continued through to the endit has plenty of good both leads give great performances i enjoyed the dialogue especially the heated debates there are a few powerful moments and the action is serviceable but scarceits hard to understand why i couldnt get into it more but i think one problem is that episode to episode there are major shifts in their relationship and the story in general we dont see how or why it happens its all offscreen and its fairly jarring on two different occasions i double checked which episode i started to make sure i didnt skip onefor that and other unknown reasons i always felt at an arms length from this story and the series in general i think many will like it but its not something id personally recommend viewing ",2024-03-02,NA
"mr. & mrs. smith","better than expected","dicapriofan","i had an absolute blast watching mr  mrs smith i just binged all  episodes over the weekend and it was such a fun show it flew by this is both a good spy thriller and a good romcom donald glover and maya erksine are both terrific as the leads and every episode has guest stars from other well known actors it had alexander skarsgard eiza gonzalez paul dano john turturro ron perlman ursula corbero sarah paulson wagner moura parker posey among others each episode was a different adventure and they were all fun to watch glover and erksine star as john and jane smith two loners who are put together to work as spies for a mysterious organization",2024-02-23,NA
"mr. & mrs. smith","disappointing boring flat","laight","theres so much wrong with this show its hard to know where to begin the worst part might be that the two leads are actually excellent actors but you wouldnt know it if you judged them solely on this show because they are forced to play possibly the two dullest human beings who have ever existed the entire first episode with a small exception for one moment of inane drama is like watching paint dry but without the excitement its almost as if the two are having a boring contest who can be the dullest person they both win and they continue to win throughout this extremely poorly written poorly plotted show how donald glover one of the most talented young actors got roped into this is the only mystery this show presents",2024-02-04,NA
"mr. & mrs. smith","not what i expected  so so so much better","jtbhbyzqfy","hihiif you love the film then youll hate thisits sharper wittier sweeter more intelligent more interestingthe film is popcornfun with some genuine laughs but does nothing of real interest the tv series is entirely different and not at all what i expected it shares a name and the premise is reversed but connected  thats it this is very different and more importantly its a better version of that different thingits not a comedy its a drama about relationships with some violence fashion and luxury homes thrown in its incredibly sweet in places and sad in others the therapy episode has the lowest rating but is crucial to the rest especially when compared to the final scenes",2024-02-03,NA
"mr. & mrs. smith","this isnt the movie get over it","realdeancool","i felt driven to provide a review after seeing the dumpster fire growing here people seem to be expecting to see the donald glover they remember from community or some endless actionpacked rollercoaster that simply repeats the movie formula for a dozen hourslet this series be what it is a spy dramedy halfway between drama and comedy just like a relationship which is key to this showthe opening sequence seems like a nod to the original telling us that the pittjolie smiths were taken out by other smiths after running for some unstated period of timethen we can learn about a new mr and mrs smith from recruitment to retirement and watch their relationship grow through the lens of international espionage its a fun concept that is well executed if you can just let go of the fact that it isnt the same as the movie",2024-02-02,NA
"mr. & mrs. smith","somewhat interesting but ultimately falls flat","cbrueggemeyer","i fell victim to the marketing ploys of this show and was excited for this show to be released watching most of the series the day it was releasedit is well made and had a good production value well shot and for the most part well acted but i find the subject matter to be dull and the writing to be a bit lazythis is a spy show that is missing all of the quintessential spy things found in the genre first off the characters are basically craigslist kirklandbrand spies they are not very good at their jobs and they are following the orders of a chatgtp style entity also the series is episodic so they are in a new location doing a new task every episode this is okay but  of the episode is spent examining their relationship while  is spent doing a few spy thingsall of the realism in this show is spent on relationship building its like a committee sat down and wrote a standard rom com using fights quirks and highlights from all of their previous relationships and packages them into a show needing a hook they threw in a few lazilywritten spy scenes to match it watchableim being a bit harsh here the series is somewhat enjoyable and the relationship scenes are pretty well executed and well thought out but if you are looking for an espionagespy show with any sort of realism this isnt it this is a show about the fake marriage between two people that just happen to be spies",2024-02-06,NA
"mr. & mrs. smith","groan","zinq","wow the first episode was awesome i thought this is going to be great silly me the subsequent episodes were just farcical plain silly or just plain boring episode  should have been good but so much time was wasted on their rapid and unreal relationship their unbelievable relationship does not ring true at all the casting itself has its problems im actually typing this as its playing on prime because i just dont care what is happening on the screen all in all an opportunity lost this could have been so much better i seriously doubt it will see a second season im not sure ill bother with any more it just does not move along fast enough and is way too flippant",2024-02-05,NA
"mr. & mrs. smith","great show binge worthy dont believe the low rating","therealhman","im going to preface this by saying it is not for me also i could not finish itdid not enjoy the casting at all not one role from the episodes i watched nor the general chemistry nor the way characters are written nor the slow developments or generic serial execution i admit by giving this tittle its name they got me otherwise i would not have bothered sadly i was correct in my assumptions regarding my taste they use the franchise and changed the vibe completely and the resulting product doesnt remotely compare to the originali rather rewatch the overthetop and energetic movie a thousand times than to finish this",2024-02-03,NA
"mr. & mrs. smith","it just doesnt work","daisukereds","you can tell mr  mrs smith was created by donald glover because it has the same feel as atlanta they shouldnt have called this mr  mrs smith though i think thats why some people left negative reviews because it doesnt resemble the movie at all i think the people who didnt like it wouldve liked it more if they called it something else because they went into it expecting the story to be along the same lines of the movie its not it doesnt make it bad though both donald glover and maya erksine were fantastic in this they have such natural chemistry this show has plenty of drama action comedy etc to keep you entertained",2024-03-06,NA
"mr. & mrs. smith","people are misunderstanding this series","gehete","this series has nothing but the premise in common with s mr and mrs smith first of all the main lead while charming in his own right is no brad pitt similarly the female lead no angelina jolie the premise of the first movie was shallow it was just  overly attractive film stars who were never seen together in a movie fawning over each other and displaying their sexiness with some bad plot in the background this movie actually explores the plot two pretend married agents going on missions and step by step getting intimate it is a blurry line they are traversing between the professional strictly lethal business and the attraction it is complexa very messy unconventional hands on movie i would very much like to compare to beef you never know where the plot is going or how the relationship will develop its messiness does contribute to it losing focus it is set up as a spy thriller but the dialogue is very much atlanta like way more casual intertwined than any spy movie ive ever watched this is however to its detriment sometimes because whilst the story the progression are enjoyable due to the complexity it creates you have a hard time buying either of the characters as stone cold killers they are supposed to bestill the dialogue is simply superb the chemistry is there the story is a thrill you just need to remove the bradjelina glasses and enjoy the ride",2024-02-07,NA
"mr. & mrs. smith","i wish i liked it more","feastmode","i see a lot of discussion surrounding how alike or different this is from the movie even though i love the movie i went into this without any expectations on what it should or shouldnt be but even with an open mind i just found myself not fully enjoying this series i reluctantly continued through to the endit has plenty of good both leads give great performances i enjoyed the dialogue especially the heated debates there are a few powerful moments and the action is serviceable but scarceits hard to understand why i couldnt get into it more but i think one problem is that episode to episode there are major shifts in their relationship and the story in general we dont see how or why it happens its all offscreen and its fairly jarring on two different occasions i double checked which episode i started to make sure i didnt skip onefor that and other unknown reasons i always felt at an arms length from this story and the series in general i think many will like it but its not something id personally recommend viewing ",2024-03-02,NA
"mr. & mrs. smith","better than expected","dicapriofan","i had an absolute blast watching mr  mrs smith i just binged all  episodes over the weekend and it was such a fun show it flew by this is both a good spy thriller and a good romcom donald glover and maya erksine are both terrific as the leads and every episode has guest stars from other well known actors it had alexander skarsgard eiza gonzalez paul dano john turturro ron perlman ursula corbero sarah paulson wagner moura parker posey among others each episode was a different adventure and they were all fun to watch glover and erksine star as john and jane smith two loners who are put together to work as spies for a mysterious organization",2024-02-23,NA
"mr. & mrs. smith","disappointing boring flat","laight","theres so much wrong with this show its hard to know where to begin the worst part might be that the two leads are actually excellent actors but you wouldnt know it if you judged them solely on this show because they are forced to play possibly the two dullest human beings who have ever existed the entire first episode with a small exception for one moment of inane drama is like watching paint dry but without the excitement its almost as if the two are having a boring contest who can be the dullest person they both win and they continue to win throughout this extremely poorly written poorly plotted show how donald glover one of the most talented young actors got roped into this is the only mystery this show presents",2024-02-04,NA
"mr. & mrs. smith","not what i expected  so so so much better","jtbhbyzqfy","hihiif you love the film then youll hate thisits sharper wittier sweeter more intelligent more interestingthe film is popcornfun with some genuine laughs but does nothing of real interest the tv series is entirely different and not at all what i expected it shares a name and the premise is reversed but connected  thats it this is very different and more importantly its a better version of that different thingits not a comedy its a drama about relationships with some violence fashion and luxury homes thrown in its incredibly sweet in places and sad in others the therapy episode has the lowest rating but is crucial to the rest especially when compared to the final scenes",2024-02-03,NA
"mr. & mrs. smith","this isnt the movie get over it","realdeancool","i felt driven to provide a review after seeing the dumpster fire growing here people seem to be expecting to see the donald glover they remember from community or some endless actionpacked rollercoaster that simply repeats the movie formula for a dozen hourslet this series be what it is a spy dramedy halfway between drama and comedy just like a relationship which is key to this showthe opening sequence seems like a nod to the original telling us that the pittjolie smiths were taken out by other smiths after running for some unstated period of timethen we can learn about a new mr and mrs smith from recruitment to retirement and watch their relationship grow through the lens of international espionage its a fun concept that is well executed if you can just let go of the fact that it isnt the same as the movie",2024-02-02,NA
"mr. & mrs. smith","somewhat interesting but ultimately falls flat","cbrueggemeyer","i fell victim to the marketing ploys of this show and was excited for this show to be released watching most of the series the day it was releasedit is well made and had a good production value well shot and for the most part well acted but i find the subject matter to be dull and the writing to be a bit lazythis is a spy show that is missing all of the quintessential spy things found in the genre first off the characters are basically craigslist kirklandbrand spies they are not very good at their jobs and they are following the orders of a chatgtp style entity also the series is episodic so they are in a new location doing a new task every episode this is okay but  of the episode is spent examining their relationship while  is spent doing a few spy thingsall of the realism in this show is spent on relationship building its like a committee sat down and wrote a standard rom com using fights quirks and highlights from all of their previous relationships and packages them into a show needing a hook they threw in a few lazilywritten spy scenes to match it watchableim being a bit harsh here the series is somewhat enjoyable and the relationship scenes are pretty well executed and well thought out but if you are looking for an espionagespy show with any sort of realism this isnt it this is a show about the fake marriage between two people that just happen to be spies",2024-02-06,NA
"mr. & mrs. smith","groan","zinq","wow the first episode was awesome i thought this is going to be great silly me the subsequent episodes were just farcical plain silly or just plain boring episode  should have been good but so much time was wasted on their rapid and unreal relationship their unbelievable relationship does not ring true at all the casting itself has its problems im actually typing this as its playing on prime because i just dont care what is happening on the screen all in all an opportunity lost this could have been so much better i seriously doubt it will see a second season im not sure ill bother with any more it just does not move along fast enough and is way too flippant",2024-02-05,NA
"mr. & mrs. smith","great show binge worthy dont believe the low rating","therealhman","im going to preface this by saying it is not for me also i could not finish itdid not enjoy the casting at all not one role from the episodes i watched nor the general chemistry nor the way characters are written nor the slow developments or generic serial execution i admit by giving this tittle its name they got me otherwise i would not have bothered sadly i was correct in my assumptions regarding my taste they use the franchise and changed the vibe completely and the resulting product doesnt remotely compare to the originali rather rewatch the overthetop and energetic movie a thousand times than to finish this",2024-02-03,NA
"mr. & mrs. smith","it just doesnt work","daisukereds","you can tell mr  mrs smith was created by donald glover because it has the same feel as atlanta they shouldnt have called this mr  mrs smith though i think thats why some people left negative reviews because it doesnt resemble the movie at all i think the people who didnt like it wouldve liked it more if they called it something else because they went into it expecting the story to be along the same lines of the movie its not it doesnt make it bad though both donald glover and maya erksine were fantastic in this they have such natural chemistry this show has plenty of drama action comedy etc to keep you entertained",2024-03-06,NA
"mr. & mrs. smith","people are misunderstanding this series","gehete","this series has nothing but the premise in common with s mr and mrs smith first of all the main lead while charming in his own right is no brad pitt similarly the female lead no angelina jolie the premise of the first movie was shallow it was just  overly attractive film stars who were never seen together in a movie fawning over each other and displaying their sexiness with some bad plot in the background this movie actually explores the plot two pretend married agents going on missions and step by step getting intimate it is a blurry line they are traversing between the professional strictly lethal business and the attraction it is complexa very messy unconventional hands on movie i would very much like to compare to beef you never know where the plot is going or how the relationship will develop its messiness does contribute to it losing focus it is set up as a spy thriller but the dialogue is very much atlanta like way more casual intertwined than any spy movie ive ever watched this is however to its detriment sometimes because whilst the story the progression are enjoyable due to the complexity it creates you have a hard time buying either of the characters as stone cold killers they are supposed to bestill the dialogue is simply superb the chemistry is there the story is a thrill you just need to remove the bradjelina glasses and enjoy the ride",2024-02-07,NA
"mr. & mrs. smith","i wish i liked it more","feastmode","i see a lot of discussion surrounding how alike or different this is from the movie even though i love the movie i went into this without any expectations on what it should or shouldnt be but even with an open mind i just found myself not fully enjoying this series i reluctantly continued through to the endit has plenty of good both leads give great performances i enjoyed the dialogue especially the heated debates there are a few powerful moments and the action is serviceable but scarceits hard to understand why i couldnt get into it more but i think one problem is that episode to episode there are major shifts in their relationship and the story in general we dont see how or why it happens its all offscreen and its fairly jarring on two different occasions i double checked which episode i started to make sure i didnt skip onefor that and other unknown reasons i always felt at an arms length from this story and the series in general i think many will like it but its not something id personally recommend viewing ",2024-03-02,NA
"mr. & mrs. smith","better than expected","dicapriofan","i had an absolute blast watching mr  mrs smith i just binged all  episodes over the weekend and it was such a fun show it flew by this is both a good spy thriller and a good romcom donald glover and maya erksine are both terrific as the leads and every episode has guest stars from other well known actors it had alexander skarsgard eiza gonzalez paul dano john turturro ron perlman ursula corbero sarah paulson wagner moura parker posey among others each episode was a different adventure and they were all fun to watch glover and erksine star as john and jane smith two loners who are put together to work as spies for a mysterious organization",2024-02-23,NA
"mr. & mrs. smith","disappointing boring flat","laight","theres so much wrong with this show its hard to know where to begin the worst part might be that the two leads are actually excellent actors but you wouldnt know it if you judged them solely on this show because they are forced to play possibly the two dullest human beings who have ever existed the entire first episode with a small exception for one moment of inane drama is like watching paint dry but without the excitement its almost as if the two are having a boring contest who can be the dullest person they both win and they continue to win throughout this extremely poorly written poorly plotted show how donald glover one of the most talented young actors got roped into this is the only mystery this show presents",2024-02-04,NA
"mr. & mrs. smith","not what i expected  so so so much better","jtbhbyzqfy","hihiif you love the film then youll hate thisits sharper wittier sweeter more intelligent more interestingthe film is popcornfun with some genuine laughs but does nothing of real interest the tv series is entirely different and not at all what i expected it shares a name and the premise is reversed but connected  thats it this is very different and more importantly its a better version of that different thingits not a comedy its a drama about relationships with some violence fashion and luxury homes thrown in its incredibly sweet in places and sad in others the therapy episode has the lowest rating but is crucial to the rest especially when compared to the final scenes",2024-02-03,NA
"mr. & mrs. smith","this isnt the movie get over it","realdeancool","i felt driven to provide a review after seeing the dumpster fire growing here people seem to be expecting to see the donald glover they remember from community or some endless actionpacked rollercoaster that simply repeats the movie formula for a dozen hourslet this series be what it is a spy dramedy halfway between drama and comedy just like a relationship which is key to this showthe opening sequence seems like a nod to the original telling us that the pittjolie smiths were taken out by other smiths after running for some unstated period of timethen we can learn about a new mr and mrs smith from recruitment to retirement and watch their relationship grow through the lens of international espionage its a fun concept that is well executed if you can just let go of the fact that it isnt the same as the movie",2024-02-02,NA
"mr. & mrs. smith","somewhat interesting but ultimately falls flat","cbrueggemeyer","i fell victim to the marketing ploys of this show and was excited for this show to be released watching most of the series the day it was releasedit is well made and had a good production value well shot and for the most part well acted but i find the subject matter to be dull and the writing to be a bit lazythis is a spy show that is missing all of the quintessential spy things found in the genre first off the characters are basically craigslist kirklandbrand spies they are not very good at their jobs and they are following the orders of a chatgtp style entity also the series is episodic so they are in a new location doing a new task every episode this is okay but  of the episode is spent examining their relationship while  is spent doing a few spy thingsall of the realism in this show is spent on relationship building its like a committee sat down and wrote a standard rom com using fights quirks and highlights from all of their previous relationships and packages them into a show needing a hook they threw in a few lazilywritten spy scenes to match it watchableim being a bit harsh here the series is somewhat enjoyable and the relationship scenes are pretty well executed and well thought out but if you are looking for an espionagespy show with any sort of realism this isnt it this is a show about the fake marriage between two people that just happen to be spies",2024-02-06,NA
"mr. & mrs. smith","groan","zinq","wow the first episode was awesome i thought this is going to be great silly me the subsequent episodes were just farcical plain silly or just plain boring episode  should have been good but so much time was wasted on their rapid and unreal relationship their unbelievable relationship does not ring true at all the casting itself has its problems im actually typing this as its playing on prime because i just dont care what is happening on the screen all in all an opportunity lost this could have been so much better i seriously doubt it will see a second season im not sure ill bother with any more it just does not move along fast enough and is way too flippant",2024-02-05,NA
"mr. & mrs. smith","great show binge worthy dont believe the low rating","therealhman","im going to preface this by saying it is not for me also i could not finish itdid not enjoy the casting at all not one role from the episodes i watched nor the general chemistry nor the way characters are written nor the slow developments or generic serial execution i admit by giving this tittle its name they got me otherwise i would not have bothered sadly i was correct in my assumptions regarding my taste they use the franchise and changed the vibe completely and the resulting product doesnt remotely compare to the originali rather rewatch the overthetop and energetic movie a thousand times than to finish this",2024-02-03,NA
"mr. & mrs. smith","it just doesnt work","daisukereds","you can tell mr  mrs smith was created by donald glover because it has the same feel as atlanta they shouldnt have called this mr  mrs smith though i think thats why some people left negative reviews because it doesnt resemble the movie at all i think the people who didnt like it wouldve liked it more if they called it something else because they went into it expecting the story to be along the same lines of the movie its not it doesnt make it bad though both donald glover and maya erksine were fantastic in this they have such natural chemistry this show has plenty of drama action comedy etc to keep you entertained",2024-03-06,NA
"mr. & mrs. smith","people are misunderstanding this series","gehete","this series has nothing but the premise in common with s mr and mrs smith first of all the main lead while charming in his own right is no brad pitt similarly the female lead no angelina jolie the premise of the first movie was shallow it was just  overly attractive film stars who were never seen together in a movie fawning over each other and displaying their sexiness with some bad plot in the background this movie actually explores the plot two pretend married agents going on missions and step by step getting intimate it is a blurry line they are traversing between the professional strictly lethal business and the attraction it is complexa very messy unconventional hands on movie i would very much like to compare to beef you never know where the plot is going or how the relationship will develop its messiness does contribute to it losing focus it is set up as a spy thriller but the dialogue is very much atlanta like way more casual intertwined than any spy movie ive ever watched this is however to its detriment sometimes because whilst the story the progression are enjoyable due to the complexity it creates you have a hard time buying either of the characters as stone cold killers they are supposed to bestill the dialogue is simply superb the chemistry is there the story is a thrill you just need to remove the bradjelina glasses and enjoy the ride",2024-02-07,NA
"mr. & mrs. smith","i wish i liked it more","feastmode","i see a lot of discussion surrounding how alike or different this is from the movie even though i love the movie i went into this without any expectations on what it should or shouldnt be but even with an open mind i just found myself not fully enjoying this series i reluctantly continued through to the endit has plenty of good both leads give great performances i enjoyed the dialogue especially the heated debates there are a few powerful moments and the action is serviceable but scarceits hard to understand why i couldnt get into it more but i think one problem is that episode to episode there are major shifts in their relationship and the story in general we dont see how or why it happens its all offscreen and its fairly jarring on two different occasions i double checked which episode i started to make sure i didnt skip onefor that and other unknown reasons i always felt at an arms length from this story and the series in general i think many will like it but its not something id personally recommend viewing ",2024-03-02,NA
"mr. & mrs. smith","better than expected","dicapriofan","i had an absolute blast watching mr  mrs smith i just binged all  episodes over the weekend and it was such a fun show it flew by this is both a good spy thriller and a good romcom donald glover and maya erksine are both terrific as the leads and every episode has guest stars from other well known actors it had alexander skarsgard eiza gonzalez paul dano john turturro ron perlman ursula corbero sarah paulson wagner moura parker posey among others each episode was a different adventure and they were all fun to watch glover and erksine star as john and jane smith two loners who are put together to work as spies for a mysterious organization",2024-02-23,NA
"mr. & mrs. smith","disappointing boring flat","laight","theres so much wrong with this show its hard to know where to begin the worst part might be that the two leads are actually excellent actors but you wouldnt know it if you judged them solely on this show because they are forced to play possibly the two dullest human beings who have ever existed the entire first episode with a small exception for one moment of inane drama is like watching paint dry but without the excitement its almost as if the two are having a boring contest who can be the dullest person they both win and they continue to win throughout this extremely poorly written poorly plotted show how donald glover one of the most talented young actors got roped into this is the only mystery this show presents",2024-02-04,NA
"mr. & mrs. smith","not what i expected  so so so much better","jtbhbyzqfy","hihiif you love the film then youll hate thisits sharper wittier sweeter more intelligent more interestingthe film is popcornfun with some genuine laughs but does nothing of real interest the tv series is entirely different and not at all what i expected it shares a name and the premise is reversed but connected  thats it this is very different and more importantly its a better version of that different thingits not a comedy its a drama about relationships with some violence fashion and luxury homes thrown in its incredibly sweet in places and sad in others the therapy episode has the lowest rating but is crucial to the rest especially when compared to the final scenes",2024-02-03,NA
"mr. & mrs. smith","this isnt the movie get over it","realdeancool","i felt driven to provide a review after seeing the dumpster fire growing here people seem to be expecting to see the donald glover they remember from community or some endless actionpacked rollercoaster that simply repeats the movie formula for a dozen hourslet this series be what it is a spy dramedy halfway between drama and comedy just like a relationship which is key to this showthe opening sequence seems like a nod to the original telling us that the pittjolie smiths were taken out by other smiths after running for some unstated period of timethen we can learn about a new mr and mrs smith from recruitment to retirement and watch their relationship grow through the lens of international espionage its a fun concept that is well executed if you can just let go of the fact that it isnt the same as the movie",2024-02-02,NA
"mr. & mrs. smith","somewhat interesting but ultimately falls flat","cbrueggemeyer","i fell victim to the marketing ploys of this show and was excited for this show to be released watching most of the series the day it was releasedit is well made and had a good production value well shot and for the most part well acted but i find the subject matter to be dull and the writing to be a bit lazythis is a spy show that is missing all of the quintessential spy things found in the genre first off the characters are basically craigslist kirklandbrand spies they are not very good at their jobs and they are following the orders of a chatgtp style entity also the series is episodic so they are in a new location doing a new task every episode this is okay but  of the episode is spent examining their relationship while  is spent doing a few spy thingsall of the realism in this show is spent on relationship building its like a committee sat down and wrote a standard rom com using fights quirks and highlights from all of their previous relationships and packages them into a show needing a hook they threw in a few lazilywritten spy scenes to match it watchableim being a bit harsh here the series is somewhat enjoyable and the relationship scenes are pretty well executed and well thought out but if you are looking for an espionagespy show with any sort of realism this isnt it this is a show about the fake marriage between two people that just happen to be spies",2024-02-06,NA
"mr. & mrs. smith","groan","zinq","wow the first episode was awesome i thought this is going to be great silly me the subsequent episodes were just farcical plain silly or just plain boring episode  should have been good but so much time was wasted on their rapid and unreal relationship their unbelievable relationship does not ring true at all the casting itself has its problems im actually typing this as its playing on prime because i just dont care what is happening on the screen all in all an opportunity lost this could have been so much better i seriously doubt it will see a second season im not sure ill bother with any more it just does not move along fast enough and is way too flippant",2024-02-05,NA
